[Measurement conditions],,,
Sample identification,153_MgCorner11May22_Act12Feb23_B1_0714M_NaOH_LS0173,,
Comment - 1,"Configuration=Reflection-Transmission Spinner 3.0, Owner=arr19, Creation date=3/22/2023 1:21:48 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Reflection-transmission spinner 3.0; Minimum step size Phi:0.1,,
Comment - 4,Diffractometer system=EMPYREAN,,
Comment - 5,"Measurement program=X:\XRD\Cement\Spinner_for_cement.xrdmp, Created identifier={6DF360EA-8E6E-4CFC-907C-F1BFECF51AA2}, Created by=Titus Reed, Id=tmr79, Creation date=2/15/2023 11:27:56 AM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.125,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/22/2023 13:54,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Phi,43.1,,
Time per step,96.39,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,1597,39.9625
5.033990845,96.39,1589,39.8623
5.060251411,96.39,1593,39.9124
5.086511976,96.39,1563,39.5348
5.112772541,96.39,1590,39.8748
5.139033107,96.39,1590,39.8748
5.165293672,96.39,1558,39.4715
5.191554237,96.39,1487,38.5616
5.217814803,96.39,1528,39.0896
5.244075368,96.39,1546,39.3192
5.270335934,96.39,1575,39.6863
5.296596499,96.39,1477,38.4318
5.322857064,96.39,1512,38.8844
5.34911763,96.39,1533,39.1535
5.375378195,96.39,1566,39.5727
5.40163876,96.39,1443,37.9868
5.427899326,96.39,1390,37.2827
5.454159891,96.39,1495,38.6652
5.480420456,96.39,1457,38.1707
5.506681022,96.39,1445,38.0132
5.532941587,96.39,1497,38.6911
5.559202152,96.39,1479,38.4578
5.585462718,96.39,1502,38.7556
5.611723283,96.39,1435,37.8814
5.637983849,96.39,1487,38.5616
5.664244414,96.39,1458,38.1838
5.690504979,96.39,1459,38.1969
5.716765545,96.39,1484,38.5227
5.74302611,96.39,1452,38.1051
5.769286675,96.39,1447,38.0395
5.795547241,96.39,1465,38.2753
5.821807806,96.39,1476,38.4187
5.848068371,96.39,1417,37.6431
5.874328937,96.39,1372,37.0405
5.900589502,96.39,1344,36.6606
5.926850067,96.39,1410,37.55
5.953110633,96.39,1378,37.1214
5.979371198,96.39,1418,37.6563
6.005631763,96.39,1380,37.1484
6.031892329,96.39,1386,37.229
6.058152894,96.39,1335,36.5377
6.08441346,96.39,1372,37.0405
6.110674025,96.39,1447,38.0395
6.13693459,96.39,1375,37.081
6.163195156,96.39,1408,37.5233
6.189455721,96.39,1353,36.7831
6.215716286,96.39,1355,36.8103
6.241976852,96.39,1352,36.7696
6.268237417,96.39,1343,36.647
6.294497982,96.39,1385,37.2156
6.320758548,96.39,1318,36.3043
6.347019113,96.39,1354,36.7967
6.373279678,96.39,1390,37.2827
6.399540244,96.39,1378,37.1214
6.425800809,96.39,1319,36.318
6.452061375,96.39,1381,37.1618
6.47832194,96.39,1286,35.8608
6.504582505,96.39,1283,35.819
6.530843071,96.39,1284,35.8329
6.557103636,96.39,1308,36.1663
6.583364201,96.39,1274,35.6931
6.609624767,96.39,1256,35.4401
6.635885332,96.39,1309,36.1801
6.662145897,96.39,1403,37.4566
6.688406463,96.39,1310,36.1939
6.714667028,96.39,1251,35.3695
6.740927593,96.39,1306,36.1386
6.767188159,96.39,1287,35.8748
6.793448724,96.39,1244,35.2704
6.819709289,96.39,1297,36.0139
6.845969855,96.39,1225,35
6.87223042,96.39,1283,35.819
6.898490986,96.39,1308,36.1663
6.924751551,96.39,1261,35.5106
6.951012116,96.39,1201,34.6554
6.977272682,96.39,1251,35.3695
7.003533247,96.39,1216,34.8712
7.029793812,96.39,1282,35.805
7.056054378,96.39,1330,36.4692
7.082314943,96.39,1265,35.5668
7.108575508,96.39,1221,34.9428
7.134836074,96.39,1281,35.7911
7.161096639,96.39,1205,34.7131
7.187357204,96.39,1210,34.7851
7.21361777,96.39,1233,35.1141
7.239878335,96.39,1282,35.805
7.2661389,96.39,1244,35.2704
7.292399466,96.39,1193,34.5398
7.318660031,96.39,1247,35.3129
7.344920597,96.39,1237,35.171
7.371181162,96.39,1243,35.2562
7.397441727,96.39,1179,34.3366
7.423702293,96.39,1241,35.2278
7.449962858,96.39,1192,34.5254
7.476223423,96.39,1224,34.9857
7.502483989,96.39,1187,34.4529
7.528744554,96.39,1116,33.4066
7.555005119,96.39,1233,35.1141
7.581265685,96.39,1191,34.5109
7.60752625,96.39,1163,34.1028
7.633786815,96.39,1205,34.7131
7.660047381,96.39,1147,33.8674
7.686307946,96.39,1143,33.8083
7.712568512,96.39,1151,33.9264
7.738829077,96.39,1151,33.9264
7.765089642,96.39,1181,34.3657
7.791350208,96.39,1219,34.9142
7.817610773,96.39,1157,34.0147
7.843871338,96.39,1124,33.5261
7.870131904,96.39,1210,34.7851
7.896392469,96.39,1208,34.7563
7.922653034,96.39,1117,33.4215
7.9489136,96.39,1188,34.4674
7.975174165,96.39,1103,33.2114
8.00143473,96.39,1169,34.1906
8.027695296,96.39,1113,33.3617
8.053955861,96.39,1143,33.8083
8.080216426,96.39,1141,33.7787
8.106476992,96.39,1138,33.7343
8.132737557,96.39,1191,34.5109
8.158998123,96.39,1146,33.8526
8.185258688,96.39,1145,33.8378
8.211519253,96.39,1095,33.0908
8.237779819,96.39,1049,32.3883
8.264040384,96.39,1089,33
8.290300949,96.39,1157,34.0147
8.316561515,96.39,1093,33.0606
8.34282208,96.39,1149,33.8969
8.369082645,96.39,1062,32.5883
8.395343211,96.39,1108,33.2866
8.421603776,96.39,1095,33.0908
8.447864341,96.39,1081,32.8786
8.474124907,96.39,1083,32.909
8.500385472,96.39,1060,32.5576
8.526646038,96.39,1075,32.7872
8.552906603,96.39,1060,32.5576
8.579167168,96.39,1099,33.1512
8.605427734,96.39,1083,32.909
8.631688299,96.39,1051,32.4191
8.657948864,96.39,1018,31.9061
8.68420943,96.39,1052,32.4345
8.710469995,96.39,1052,32.4345
8.73673056,96.39,998,31.5911
8.762991126,96.39,1025,32.0156
8.789251691,96.39,1152,33.9411
8.815512256,96.39,1078,32.8329
8.841772822,96.39,997,31.5753
8.868033387,96.39,1038,32.218
8.894293952,96.39,1028,32.0624
8.920554518,96.39,1071,32.7261
8.946815083,96.39,1069,32.6956
8.973075649,96.39,1124,33.5261
8.999336214,96.39,1010,31.7805
9.025596779,96.39,1052,32.4345
9.051857345,96.39,1047,32.3574
9.07811791,96.39,1031,32.1092
9.104378475,96.39,1084,32.9242
