[Measurement conditions],,,
Sample identification,Centroid08Dec21_Act13Feb23_B1_0714M_NaOH_LS0173_Num160,,
Comment - 1,"Configuration=Reflection-Transmission Spinner 3.0, Owner=nmw10, Creation date=9/26/2022 3:05:51 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Reflection-transmission spinner 3.0; Minimum step size Phi:0.1,,
Comment - 4,Diffractometer system=EMPYREAN,,
Comment - 5,"Measurement program=X:\XRD\Cement\Spinner_for_cement.xrdmp, Created identifier={6DF360EA-8E6E-4CFC-907C-F1BFECF51AA2}, Created by=Titus Reed, Id=tmr79, Creation date=2/15/2023 11:27:56 AM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.125,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/15/2023 21:59,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Phi,160.5,,
Time per step,96.39,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,1345,36.6742
5.033990845,96.39,1306,36.1386
5.060251411,96.39,1301,36.0694
5.086511976,96.39,1331,36.4829
5.112772541,96.39,1265,35.5668
5.139033107,96.39,1287,35.8748
5.165293672,96.39,1251,35.3695
5.191554237,96.39,1290,35.9166
5.217814803,96.39,1267,35.5949
5.244075368,96.39,1173,34.2491
5.270335934,96.39,1202,34.6699
5.296596499,96.39,1219,34.9142
5.322857064,96.39,1242,35.242
5.34911763,96.39,1237,35.171
5.375378195,96.39,1189,34.4819
5.40163876,96.39,1217,34.8855
5.427899326,96.39,1141,33.7787
5.454159891,96.39,1175,34.2783
5.480420456,96.39,1183,34.3948
5.506681022,96.39,1176,34.2929
5.532941587,96.39,1156,34
5.559202152,96.39,1158,34.0294
5.585462718,96.39,1145,33.8378
5.611723283,96.39,1197,34.5977
5.637983849,96.39,1194,34.5543
5.664244414,96.39,1143,33.8083
5.690504979,96.39,1186,34.4384
5.716765545,96.39,1191,34.5109
5.74302611,96.39,1152,33.9411
5.769286675,96.39,1115,33.3916
5.795547241,96.39,1186,34.4384
5.821807806,96.39,1176,34.2929
5.848068371,96.39,1131,33.6303
5.874328937,96.39,1144,33.8231
5.900589502,96.39,1184,34.4093
5.926850067,96.39,1173,34.2491
5.953110633,96.39,1222,34.9571
5.979371198,96.39,1071,32.7261
6.005631763,96.39,1105,33.2415
6.031892329,96.39,1161,34.0735
6.058152894,96.39,1104,33.2265
6.08441346,96.39,1123,33.5112
6.110674025,96.39,1125,33.541
6.13693459,96.39,1106,33.2566
6.163195156,96.39,1116,33.4066
6.189455721,96.39,1119,33.4515
6.215716286,96.39,1107,33.2716
6.241976852,96.39,1105,33.2415
6.268237417,96.39,1096,33.1059
6.294497982,96.39,1103,33.2114
6.320758548,96.39,1152,33.9411
6.347019113,96.39,1076,32.8024
6.373279678,96.39,1107,33.2716
6.399540244,96.39,1072,32.7414
6.425800809,96.39,1111,33.3317
6.452061375,96.39,1076,32.8024
6.47832194,96.39,1073,32.7567
6.504582505,96.39,1112,33.3467
6.530843071,96.39,1017,31.8904
6.557103636,96.39,1098,33.1361
6.583364201,96.39,1096,33.1059
6.609624767,96.39,1076,32.8024
6.635885332,96.39,1067,32.665
6.662145897,96.39,986,31.4006
6.688406463,96.39,1041,32.2645
6.714667028,96.39,1090,33.0151
6.740927593,96.39,1094,33.0757
6.767188159,96.39,1098,33.1361
6.793448724,96.39,1066,32.6497
6.819709289,96.39,1103,33.2114
6.845969855,96.39,1058,32.5269
6.87223042,96.39,1085,32.9393
6.898490986,96.39,1053,32.45
6.924751551,96.39,1115,33.3916
6.951012116,96.39,1071,32.7261
6.977272682,96.39,1022,31.9687
7.003533247,96.39,1057,32.5115
7.029793812,96.39,1057,32.5115
7.056054378,96.39,1032,32.1248
7.082314943,96.39,1032,32.1248
7.108575508,96.39,1087,32.9697
7.134836074,96.39,1026,32.0312
7.161096639,96.39,1070,32.7109
7.187357204,96.39,1136,33.7046
7.21361777,96.39,1047,32.3574
7.239878335,96.39,1090,33.0151
7.2661389,96.39,1036,32.187
7.292399466,96.39,1070,32.7109
7.318660031,96.39,1052,32.4345
7.344920597,96.39,1014,31.8434
7.371181162,96.39,1021,31.9531
7.397441727,96.39,997,31.5753
7.423702293,96.39,1082,32.8938
7.449962858,96.39,1034,32.1559
7.476223423,96.39,1056,32.4962
7.502483989,96.39,1030,32.0936
7.528744554,96.39,989,31.4484
7.555005119,96.39,1081,32.8786
7.581265685,96.39,1037,32.2025
7.60752625,96.39,1030,32.0936
7.633786815,96.39,1035,32.1714
7.660047381,96.39,1086,32.9545
7.686307946,96.39,1073,32.7567
7.712568512,96.39,1043,32.2955
7.738829077,96.39,995,31.5436
7.765089642,96.39,1008,31.749
7.791350208,96.39,1083,32.909
7.817610773,96.39,1061,32.573
7.843871338,96.39,970,31.1448
7.870131904,96.39,1066,32.6497
7.896392469,96.39,1076,32.8024
7.922653034,96.39,1018,31.9061
7.9489136,96.39,1024,32
7.975174165,96.39,1058,32.5269
8.00143473,96.39,995,31.5436
8.027695296,96.39,1021,31.9531
8.053955861,96.39,999,31.607
8.080216426,96.39,997,31.5753
8.106476992,96.39,989,31.4484
8.132737557,96.39,1062,32.5883
8.158998123,96.39,1074,32.7719
8.185258688,96.39,1030,32.0936
8.211519253,96.39,1000,31.6228
8.237779819,96.39,1041,32.2645
8.264040384,96.39,963,31.0322
8.290300949,96.39,1036,32.187
8.316561515,96.39,1032,32.1248
8.34282208,96.39,1017,31.8904
8.369082645,96.39,1070,32.7109
8.395343211,96.39,1048,32.3728
8.421603776,96.39,1037,32.2025
8.447864341,96.39,1061,32.573
8.474124907,96.39,1036,32.187
8.500385472,96.39,1044,32.311
8.526646038,96.39,1001,31.6386
8.552906603,96.39,1081,32.8786
8.579167168,96.39,1057,32.5115
8.605427734,96.39,1026,32.0312
8.631688299,96.39,1038,32.218
8.657948864,96.39,954,30.8869
8.68420943,96.39,1039,32.2335
8.710469995,96.39,1086,32.9545
8.73673056,96.39,1033,32.1403
8.762991126,96.39,996,31.5595
8.789251691,96.39,997,31.5753
8.815512256,96.39,977,31.257
8.841772822,96.39,1016,31.8748
8.868033387,96.39,1040,32.249
8.894293952,96.39,1045,32.3265
8.920554518,96.39,984,31.3688
8.946815083,96.39,947,30.7734
8.973075649,96.39,1008,31.749
8.999336214,96.39,997,31.5753
9.025596779,96.39,960,30.9839
9.051857345,96.39,1026,32.0312
9.07811791,96.39,996,31.5595
9.104378475,96.39,1020,31.9374
9.130639041,96.39,1000,31.6228
9.156899606,96.39,1046,32.3419
9.183160171,96.39,1075,32.7872
9.209420737,96.39,1000,31.6228
9.235681302,96.39,1001,31.6386
9.261941867,96.39,969,31.1288
9.288202433,96.39,982,31.3369
9.314462998,96.39,940,30.6594
9.340723564,96.39,992,31.496
9.366984129,96.39,990,31.4643
9.393244694,96.39,1013,31.8277
9.41950526,96.39,1016,31.8748
9.445765825,96.39,973,31.1929
9.47202639,96.39,980,31.305
9.498286956,96.39,971,31.1609
9.524547521,96.39,1042,32.28
9.550808086,96.39,975,31.225
9.577068652,96.39,1019,31.9218
9.603329217,96.39,996,31.5595
9.629589782,96.39,1017,31.8904
9.655850348,96.39,954,30.8869
9.682110913,96.39,957,30.9354
9.708371478,96.39,1001,31.6386
9.734632044,96.39,989,31.4484
9.760892609,96.39,1038,32.218
9.787153175,96.39,998,31.5911
9.81341374,96.39,981,31.3209
9.839674305,96.39,976,31.241
9.865934871,96.39,979,31.289
9.892195436,96.39,1001,31.6386
9.918456001,96.39,955,30.9031
9.944716567,96.39,980,31.305
9.970977132,96.39,1082,32.8938
9.997237697,96.39,965,31.0644
10.02349826,96.39,994,31.5278
10.04975883,96.39,990,31.4643
10.07601939,96.39,981,31.3209
10.10227996,96.39,936,30.5941
10.12854052,96.39,973,31.1929
10.15480109,96.39,968,31.1127
10.18106166,96.39,1000,31.6228
10.20732222,96.39,1013,31.8277
10.23358279,96.39,921,30.348
10.25984335,96.39,1014,31.8434
10.28610392,96.39,989,31.4484
10.31236448,96.39,1061,32.573
10.33862505,96.39,994,31.5278
10.36488561,96.39,982,31.3369
10.39114618,96.39,1023,31.9844
10.41740674,96.39,1013,31.8277
10.44366731,96.39,999,31.607
10.46992787,96.39,977,31.257
10.49618844,96.39,1020,31.9374
10.522449,96.39,1045,32.3265
10.54870957,96.39,972,31.1769
10.57497014,96.39,986,31.4006
10.6012307,96.39,986,31.4006
10.62749127,96.39,958,30.9516
10.65375183,96.39,988,31.4325
10.6800124,96.39,974,31.209
10.70627296,96.39,1012,31.8119
10.73253353,96.39,930,30.4959
10.75879409,96.39,955,30.9031
10.78505466,96.39,1012,31.8119
10.81131522,96.39,971,31.1609
10.83757579,96.39,982,31.3369
10.86383635,96.39,918,30.2985
