[Measurement conditions],,,
Sample identification,MgAxial24Jan22_Act12Feb23_B1_0714M_NaOH_LS0173_Num154,,
Comment - 1,"Configuration=Reflection-Transmission Spinner 3.0, Owner=nmw10, Creation date=9/26/2022 3:05:51 PM",,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,
Comment - 3,Sample stage=Reflection-transmission spinner 3.0; Minimum step size Phi:0.1,,
Comment - 4,Diffractometer system=EMPYREAN,,
Comment - 5,"Measurement program=X:\XRD\Cement\Spinner_for_cement.xrdmp, Created identifier={6DF360EA-8E6E-4CFC-907C-F1BFECF51AA2}, Created by=Titus Reed, Id=tmr79, Creation date=2/15/2023 11:27:56 AM",,
Anode material,Cu,,
K-Alpha1 wavelength,1.540598,,
K-Alpha2 wavelength,1.544426,,
Ratio K-Alpha2/K-Alpha1,0.5,,
Divergence slit,Fixed,0.125,
Monochromator used,NO,,
Generator voltage,45,,
Tube current,40,,
File date and time,3/15/2023 22:19,,
Unit cell,,,
h k l, 0 0 0,,
Scan axis,Gonio,,
Scan range,4.994599997,64.99999183,
Scan step size,0.0262606,,
No. of points,2285,,
Scan type,CONTINUOUS,,
Phi,225.8,,
Time per step,96.39,,
Angle, TimePerStep, Intensity, ESD
5.00773028,96.39,1431,37.8286
5.033990845,96.39,1402,37.4433
5.060251411,96.39,1419,37.6696
5.086511976,96.39,1370,37.0135
5.112772541,96.39,1349,36.7287
5.139033107,96.39,1333,36.5103
5.165293672,96.39,1284,35.8329
5.191554237,96.39,1274,35.6931
5.217814803,96.39,1268,35.609
5.244075368,96.39,1295,35.9861
5.270335934,96.39,1270,35.6371
5.296596499,96.39,1279,35.7631
5.322857064,96.39,1274,35.6931
5.34911763,96.39,1322,36.3593
5.375378195,96.39,1314,36.2491
5.40163876,96.39,1270,35.6371
5.427899326,96.39,1253,35.3977
5.454159891,96.39,1324,36.3868
5.480420456,96.39,1171,34.2199
5.506681022,96.39,1333,36.5103
5.532941587,96.39,1201,34.6554
5.559202152,96.39,1209,34.7707
5.585462718,96.39,1231,35.0856
5.611723283,96.39,1270,35.6371
5.637983849,96.39,1176,34.2929
5.664244414,96.39,1283,35.819
5.690504979,96.39,1193,34.5398
5.716765545,96.39,1217,34.8855
5.74302611,96.39,1219,34.9142
5.769286675,96.39,1175,34.2783
5.795547241,96.39,1166,34.1467
5.821807806,96.39,1146,33.8526
5.848068371,96.39,1199,34.6266
5.874328937,96.39,1161,34.0735
5.900589502,96.39,1162,34.0881
5.926850067,96.39,1169,34.1906
5.953110633,96.39,1252,35.3836
5.979371198,96.39,1136,33.7046
6.005631763,96.39,1203,34.6843
6.031892329,96.39,1167,34.1614
6.058152894,96.39,1105,33.2415
6.08441346,96.39,1166,34.1467
6.110674025,96.39,1133,33.6601
6.13693459,96.39,1125,33.541
6.163195156,96.39,1164,34.1174
6.189455721,96.39,1100,33.1662
6.215716286,96.39,1165,34.1321
6.241976852,96.39,1180,34.3511
6.268237417,96.39,1118,33.4365
6.294497982,96.39,1123,33.5112
6.320758548,96.39,1059,32.5423
6.347019113,96.39,1140,33.7639
6.373279678,96.39,1102,33.1964
6.399540244,96.39,1151,33.9264
6.425800809,96.39,1106,33.2566
6.452061375,96.39,1063,32.6037
6.47832194,96.39,1030,32.0936
6.504582505,96.39,1094,33.0757
6.530843071,96.39,1056,32.4962
6.557103636,96.39,1149,33.8969
6.583364201,96.39,1079,32.8481
6.609624767,96.39,1145,33.8378
6.635885332,96.39,1099,33.1512
6.662145897,96.39,1138,33.7343
6.688406463,96.39,1054,32.4654
6.714667028,96.39,1048,32.3728
6.740927593,96.39,1090,33.0151
6.767188159,96.39,1061,32.573
6.793448724,96.39,1064,32.619
6.819709289,96.39,1049,32.3883
6.845969855,96.39,980,31.305
6.87223042,96.39,1003,31.6702
6.898490986,96.39,1100,33.1662
6.924751551,96.39,1040,32.249
6.951012116,96.39,1053,32.45
6.977272682,96.39,1038,32.218
7.003533247,96.39,1077,32.8177
7.029793812,96.39,1027,32.0468
7.056054378,96.39,1079,32.8481
7.082314943,96.39,988,31.4325
7.108575508,96.39,1091,33.0303
7.134836074,96.39,1031,32.1092
7.161096639,96.39,1018,31.9061
7.187357204,96.39,1112,33.3467
7.21361777,96.39,994,31.5278
7.239878335,96.39,1065,32.6343
7.2661389,96.39,996,31.5595
7.292399466,96.39,1025,32.0156
7.318660031,96.39,984,31.3688
7.344920597,96.39,1035,32.1714
7.371181162,96.39,1047,32.3574
7.397441727,96.39,1052,32.4345
7.423702293,96.39,1016,31.8748
7.449962858,96.39,1050,32.4037
7.476223423,96.39,999,31.607
7.502483989,96.39,1039,32.2335
7.528744554,96.39,948,30.7896
7.555005119,96.39,1062,32.5883
7.581265685,96.39,939,30.6431
7.60752625,96.39,981,31.3209
7.633786815,96.39,990,31.4643
7.660047381,96.39,1012,31.8119
7.686307946,96.39,948,30.7896
7.712568512,96.39,1000,31.6228
7.738829077,96.39,1032,32.1248
7.765089642,96.39,1014,31.8434
7.791350208,96.39,954,30.8869
7.817610773,96.39,944,30.7246
7.843871338,96.39,969,31.1288
7.870131904,96.39,954,30.8869
7.896392469,96.39,1065,32.6343
7.922653034,96.39,993,31.5119
7.9489136,96.39,998,31.5911
7.975174165,96.39,1037,32.2025
8.00143473,96.39,1027,32.0468
8.027695296,96.39,1031,32.1092
8.053955861,96.39,1075,32.7872
8.080216426,96.39,1045,32.3265
8.106476992,96.39,1070,32.7109
8.132737557,96.39,1131,33.6303
8.158998123,96.39,1102,33.1964
8.185258688,96.39,1022,31.9687
8.211519253,96.39,1041,32.2645
8.237779819,96.39,1005,31.7017
8.264040384,96.39,962,31.0161
8.290300949,96.39,988,31.4325
8.316561515,96.39,1018,31.9061
8.34282208,96.39,990,31.4643
8.369082645,96.39,1051,32.4191
8.395343211,96.39,921,30.348
8.421603776,96.39,978,31.273
8.447864341,96.39,974,31.209
8.474124907,96.39,980,31.305
8.500385472,96.39,935,30.5778
8.526646038,96.39,1000,31.6228
8.552906603,96.39,1015,31.8591
8.579167168,96.39,941,30.6757
8.605427734,96.39,960,30.9839
8.631688299,96.39,968,31.1127
8.657948864,96.39,1050,32.4037
8.68420943,96.39,986,31.4006
8.710469995,96.39,1030,32.0936
8.73673056,96.39,998,31.5911
8.762991126,96.39,966,31.0805
8.789251691,96.39,999,31.607
8.815512256,96.39,947,30.7734
8.841772822,96.39,1015,31.8591
8.868033387,96.39,1037,32.2025
8.894293952,96.39,974,31.209
8.920554518,96.39,952,30.8545
8.946815083,96.39,972,31.1769
8.973075649,96.39,995,31.5436
8.999336214,96.39,913,30.2159
9.025596779,96.39,1013,31.8277
9.051857345,96.39,1013,31.8277
9.07811791,96.39,1046,32.3419
9.104378475,96.39,994,31.5278
9.130639041,96.39,1002,31.6544
9.156899606,96.39,980,31.305
9.183160171,96.39,1031,32.1092
9.209420737,96.39,1030,32.0936
9.235681302,96.39,1053,32.45
9.261941867,96.39,1020,31.9374
9.288202433,96.39,978,31.273
9.314462998,96.39,994,31.5278
9.340723564,96.39,995,31.5436
9.366984129,96.39,971,31.1609
9.393244694,96.39,1030,32.0936
9.41950526,96.39,991,31.4802
9.445765825,96.39,1020,31.9374
9.47202639,96.39,1108,33.2866
9.498286956,96.39,1014,31.8434
9.524547521,96.39,1126,33.5559
9.550808086,96.39,1086,32.9545
9.577068652,96.39,1066,32.6497
9.603329217,96.39,1078,32.8329
9.629589782,96.39,1020,31.9374
9.655850348,96.39,1059,32.5423
9.682110913,96.39,1055,32.4808
9.708371478,96.39,1071,32.7261
9.734632044,96.39,1049,32.3883
9.760892609,96.39,1095,33.0908
9.787153175,96.39,1077,32.8177
9.81341374,96.39,1047,32.3574
9.839674305,96.39,1090,33.0151
9.865934871,96.39,1064,32.619
9.892195436,96.39,1107,33.2716
9.918456001,96.39,1090,33.0151
9.944716567,96.39,1073,32.7567
9.970977132,96.39,1025,32.0156
9.997237697,96.39,1132,33.6452
10.02349826,96.39,1080,32.8634
10.04975883,96.39,1108,33.2866
10.07601939,96.39,1138,33.7343
10.10227996,96.39,1090,33.0151
10.12854052,96.39,1098,33.1361
10.15480109,96.39,1098,33.1361
10.18106166,96.39,1150,33.9116
10.20732222,96.39,1153,33.9559
10.23358279,96.39,1163,34.1028
10.25984335,96.39,1138,33.7343
10.28610392,96.39,1190,34.4964
10.31236448,96.39,1161,34.0735
10.33862505,96.39,1179,34.3366
10.36488561,96.39,1171,34.2199
10.39114618,96.39,1175,34.2783
10.41740674,96.39,1193,34.5398
10.44366731,96.39,1196,34.5832
10.46992787,96.39,1158,34.0294
10.49618844,96.39,1225,35
10.522449,96.39,1169,34.1906
10.54870957,96.39,1232,35.0999
10.57497014,96.39,1174,34.2637
10.6012307,96.39,1163,34.1028
10.62749127,96.39,1269,35.623
10.65375183,96.39,1245,35.2846
10.6800124,96.39,1266,35.5809
10.70627296,96.39,1214,34.8425
10.73253353,96.39,1206,34.7275
10.75879409,96.39,1295,35.9861
10.78505466,96.39,1251,35.3695
10.81131522,96.39,1235,35.1426
